,iso2_code,language,year_quarter,unique_id,num_pushers,language_type,year,quarter,gpt_available,population,num_pushers_pc,post_gpt,Treatment
182,AL,Python,2021-Q3,AL-Python,279,programming,2021,7,1,2895947,9.634154216220118,0,0
183,AL,Python,2021-Q4,AL-Python,211,programming,2021,8,1,2895947,7.286044944883315,0,0
184,AL,Python,2022-Q1,AL-Python,270,programming,2022,9,1,2895947,9.323375047954952,0,0
185,AL,Python,2022-Q2,AL-Python,390,programming,2022,10,1,2895947,13.467097291490488,0,0
186,AL,Python,2022-Q3,AL-Python,270,programming,2022,11,1,2895947,9.323375047954952,0,0
187,AL,Python,2022-Q4,AL-Python,294,programming,2022,12,1,2895947,10.152119496662058,1,1
188,AL,Python,2023-Q1,AL-Python,326,programming,2023,13,1,2895947,11.2571120949382,1,1
189,AL,Python,2023-Q2,AL-Python,377,programming,2023,14,1,2895947,13.018194048440805,1,1
190,AL,Python,2023-Q3,AL-Python,335,programming,2023,15,1,2895947,11.567891263203366,1,1
191,AL,Python,2023-Q4,AL-Python,326,programming,2023,16,1,2895947,11.2571120949382,1,1
192,AL,Java,2020-Q1,AL-Java,339,programming,2020,1,1,2895947,11.706015337987886,0,0
193,AL,Java,2020-Q2,AL-Java,354,programming,2020,2,1,2895947,12.223980618429826,0,0
194,AL,Java,2020-Q3,AL-Java,254,programming,2020,3,1,2895947,8.770878748816882,0,0
195,AL,Java,2020-Q4,AL-Java,227,programming,2020,4,1,2895947,7.838541244021386,0,0
196,AL,Java,2021-Q1,AL-Java,294,programming,2021,5,1,2895947,10.152119496662058,0,0
197,AL,Java,2021-Q2,AL-Java,374,programming,2021,6,1,2895947,12.914600992352415,0,0
198,AL,Java,2021-Q3,AL-Java,294,programming,2021,7,1,2895947,10.152119496662058,0,0
199,AL,Java,2021-Q4,AL-Java,254,programming,2021,8,1,2895947,8.770878748816882,0,0
200,AL,Java,2022-Q1,AL-Java,303,programming,2022,9,1,2895947,10.462898664927224,0,0
201,AL,Java,2022-Q2,AL-Java,525,programming,2022,10,1,2895947,18.128784815467963,0,0
202,AL,Java,2022-Q3,AL-Java,317,programming,2022,11,1,2895947,10.946332926673037,0,0
203,AL,Java,2022-Q4,AL-Java,283,programming,2022,12,1,2895947,9.772278291004636,1,1
204,AL,Java,2023-Q1,AL-Java,293,programming,2023,13,1,2895947,10.11758847796593,1,1
205,AL,Java,2023-Q2,AL-Java,361,programming,2023,14,1,2895947,12.46569774930273,1,1
206,AL,Java,2023-Q3,AL-Java,233,programming,2023,15,1,2895947,8.045727356198162,1,1
207,AL,Java,2023-Q4,AL-Java,388,programming,2023,16,1,2895947,13.398035254098229,1,1
208,AL,Ruby,2020-Q1,AL-Ruby,0,,2020,1,1,2895947,0.0,0,0
209,AL,Ruby,2020-Q2,AL-Ruby,152,programming,2020,2,1,2895947,5.248714841811677,0,0
210,AL,Ruby,2020-Q3,AL-Ruby,137,programming,2020,3,1,2895947,4.730749561369735,0,0
211,AL,Ruby,2020-Q4,AL-Ruby,152,programming,2020,4,1,2895947,5.248714841811677,0,0
212,AL,Ruby,2021-Q1,AL-Ruby,144,programming,2021,5,1,2895947,4.972466692242641,0,0
213,AL,Ruby,2021-Q2,AL-Ruby,184,programming,2021,6,1,2895947,6.3537074400878195,0,0
214,AL,Ruby,2021-Q3,AL-Ruby,0,,2021,7,1,2895947,0.0,0,0
215,AL,Ruby,2021-Q4,AL-Ruby,0,,2021,8,1,2895947,0.0,0,0
216,AL,Ruby,2022-Q1,AL-Ruby,0,,2022,9,1,2895947,0.0,0,0
217,AL,Ruby,2022-Q2,AL-Ruby,0,,2022,10,1,2895947,0.0,0,0
218,AL,Ruby,2022-Q3,AL-Ruby,0,,2022,11,1,2895947,0.0,0,0
219,AL,Ruby,2022-Q4,AL-Ruby,0,,2022,12,1,2895947,0.0,1,1
220,AL,Ruby,2023-Q1,AL-Ruby,0,,2023,13,1,2895947,0.0,1,1
221,AL,Ruby,2023-Q2,AL-Ruby,0,,2023,14,1,2895947,0.0,1,1
222,AL,Ruby,2023-Q3,AL-Ruby,0,,2023,15,1,2895947,0.0,1,1
223,AL,Ruby,2023-Q4,AL-Ruby,0,,2023,16,1,2895947,0.0,1,1
224,AL,PHP,2020-Q1,AL-PHP,238,programming,2020,1,1,2895947,8.21838244967881,0,0
225,AL,PHP,2020-Q2,AL-PHP,414,programming,2020,2,1,2895947,14.295841740197593,0,0
226,AL,PHP,2020-Q3,AL-PHP,292,programming,2020,3,1,2895947,10.083057459269801,0,0
227,AL,PHP,2020-Q4,AL-PHP,219,programming,2020,4,1,2895947,7.562293094452349,0,0
228,AL,PHP,2021-Q1,AL-PHP,363,programming,2021,5,1,2895947,12.534759786694993,0,0
229,AL,PHP,2021-Q2,AL-PHP,425,programming,2021,6,1,2895947,14.67568294585502,0,0
