git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,repositories,developers_pc,repositories_pc,pushes_perdev
505384,DK,2020,4,1,0,0,0,0,4,5655750,0.08935755646908014,211440,518646,0.0373849622066039,0.09170242673385492,2.3902005297010973
495854,FI,2020,4,1,0,0,0,0,4,5470437,0.09064248432072246,172901,487701,0.031606432904720407,0.08915210978574473,2.867849231641228
475998,BY,2020,4,0,0,0,0,0,4,9475100,0.05023672573376534,181242,562170,0.019128241390592184,0.05933129993350994,2.626311782037276
463426,BD,2020,4,1,0,0,0,0,4,157486000,0.0029426488703757792,312435,846422,0.001983890631548201,0.005374585677457044,1.4832717205178678
424637,AT,2020,4,1,0,0,0,0,4,8527230,0.04979776551119179,181245,432228,0.021254850637311296,0.050687972530352766,2.3428894590195593
409448,PT,2020,4,1,0,0,0,0,4,10477800,0.03907766897631182,212849,510777,0.020314283532802686,0.048748496821851915,1.923654797532523
399255,RO,2020,4,1,0,0,0,0,4,19942642,0.020020165833594165,270853,539489,0.013581600672568861,0.027052032524075797,1.4740652678759327
397048,IE,2020,4,1,0,0,0,0,4,6378000,0.062252743806836,175999,556511,0.02759470053308247,0.08725478206334274,2.2559673634509285
395679,PH,2020,4,1,0,0,0,0,4,100697400,0.003929386458836078,563189,749790,0.0055928852184862765,0.007445971792717588,0.7025687646598211
389724,PK,2020,4,1,0,0,0,0,4,188410000,0.002068488933708402,428915,745658,0.0022764980627355234,0.00395763494506661,0.908627583553851
388590,TH,2020,4,1,0,0,0,0,4,64871000,0.005990195927301876,383466,762115,0.00591120839820567,0.011748161736369101,1.0133623319929277
359836,NG,2020,4,1,0,0,0,0,4,178517000,0.0020156959841359646,255132,711318,0.0014291748124828447,0.003984595304648857,1.4103914836241631
356688,HU,2020,4,1,0,0,0,0,4,9879000,0.036105678712420285,175475,384741,0.01776242534669501,0.03894533859702399,2.0326998147884314
296108,NZ,2020,4,1,0,0,0,0,4,4547900,0.06510873150245168,167579,460895,0.036847556014864,0.1013423778007432,1.7669755756986256
286834,EG,2020,4,0,0,0,0,0,4,87668100,0.003271817228843787,329651,617998,0.00376021608772176,0.007049291589529144,0.8701141510263886
277257,CL,2020,4,1,0,0,0,0,4,17819054,0.01555958021116048,219082,447182,0.012294816548622614,0.025095720569677828,1.265539843528907
270853,BG,2020,4,1,0,0,0,0,4,7245677,0.037381324063990154,126053,323676,0.017396994097307952,0.04467160211530268,2.148723156132738
262439,MY,2020,4,1,0,0,0,0,4,30430500,0.008624209263732112,306282,488533,0.010064967713313945,0.01605405760667751,0.8568541409550675
260819,GR,2020,4,1,0,0,0,0,4,10992589,0.0237268035764823,144381,314485,0.013134394454300074,0.028608819996817855,1.8064634543326339
259241,ZA,2020,4,1,0,0,0,0,4,54002000,0.004800581459945928,261947,511881,0.004850690715158697,0.00947892670641828,0.9896696660011376
238358,PE,2020,4,1,0,0,0,0,4,30814175,0.007735336091263193,209451,456011,0.006797228872750934,0.014798741163766352,1.1380131868551595
233781,LK,2020,4,1,0,0,0,0,4,20277597,0.011529028809478757,115313,343034,0.00568671919064177,0.016916896020766167,2.027360314968824
219516,IR,2020,4,0,0,0,0,0,4,77966400,0.0028155205319214433,271203,336223,0.003478459951979314,0.004312408935131031,0.8094158250461831
200384,KE,2020,4,1,0,0,0,0,4,41800000,0.004793875598086124,118828,436666,0.002842775119617225,0.010446555023923445,1.6863365536742183
181758,RS,2020,4,1,0,0,0,0,4,7186862,0.025290314465478813,117828,249462,0.01639491616786297,0.0347108376367878,1.5425705265301966
149557,TN,2020,4,1,0,0,0,0,4,10982754,0.013617440580022096,113249,214099,0.010311530240957777,0.019494108672560635,1.3206032724350767
146981,LT,2020,4,1,0,0,0,0,4,2927310,0.05021026129791515,69846,163320,0.023860130973487603,0.05579183619090564,2.104358159379206
142345,NP,2020,4,1,0,0,0,0,4,27646053,0.005148836255215166,95260,270339,0.0034456998255772715,0.009778574901813289,1.4942788158723495
136194,HR,2020,4,1,0,0,0,0,4,4267558,0.03191380175735163,70856,152632,0.016603406444622427,0.03576565333148372,1.9221237439313537
132705,SK,2020,4,1,0,0,0,0,4,5415949,0.02450263102551372,69384,140388,0.012811051211892873,0.025921218977505142,1.912616741611899
130640,MA,2020,4,1,0,0,0,0,4,33465000,0.0039037800687285224,192213,244387,0.005743702375616316,0.007302764081876588,0.6796626658966876
128691,KZ,2020,4,1,0,0,0,0,4,17377800,0.007405482857438801,96315,175436,0.00554241618616856,0.010095409085154623,1.3361470175985048
121513,EE,2020,4,1,0,0,0,0,4,1315819,0.09234780771519487,48999,155885,0.03723840437020593,0.11846994153451197,2.4799077532194533
113750,CR,2020,4,1,0,0,0,0,4,4713168,0.02413450995169279,67249,144222,0.014268322283440778,0.03059980038903769,1.6914749661705006
109776,EC,2020,4,1,0,0,0,0,4,15888900,0.006908974189528539,99378,185201,0.006254555066744709,0.011655998841958852,1.1046308035983818
107996,AE,2020,4,1,0,0,0,0,4,9446000,0.01143298750793987,133327,220636,0.014114651704425154,0.023357611687486766,0.8100084754025816
103109,SA,2020,4,1,0,0,0,0,4,30770375,0.0033509178877410496,234329,257700,0.007615409301966583,0.008374938556972413,0.4400180942179585
96660,VE,2020,4,0,0,0,0,0,4,30206307,0.003199993961525982,100228,129941,0.003318114988369813,0.004301783730132916,0.9644011653430179
91337,UY,2020,4,1,0,0,0,0,4,3404189,0.026830766446868843,45990,86919,0.01350982568829169,0.025532953663853563,1.98601869971733
88815,SI,2020,4,1,0,0,0,0,4,2064966,0.04301039339146504,45506,103424,0.022037166713640807,0.05008508614669684,1.951720652221685
85140,LV,2020,4,1,0,0,0,0,4,1991800,0.042745255547745754,46479,104634,0.023335174214278543,0.052532382769354354,1.8317950041954432
83585,GT,2020,4,1,0,0,0,0,4,15806675,0.005287955879399051,47283,119398,0.0029913311939418,0.007553644267374385,1.767760082905061
64097,JO,2020,4,1,0,0,0,0,4,6666960,0.00961412697841295,50685,81255,0.007602415493718277,0.012187713740595414,1.264614777547598
63949,UZ,2020,4,0,0,0,0,0,4,30492800,0.0020971835974393956,41139,80544,0.0013491381572043237,0.0026414104313149333,1.554461703006879
61419,MD,2020,4,1,0,0,0,0,4,3557600,0.017264166854058915,36114,78849,0.010151225545311445,0.022163537216100742,1.7006977903306197
60893,MM,2020,4,1,0,0,0,0,4,54688774,0.0011134460611605592,70722,98061,0.0012931721599756469,0.0017930736571275122,0.8610192019456463
60683,LB,2020,4,1,0,0,0,0,4,4104000,0.01478630604288499,42727,54794,0.010411062378167642,0.013351364522417154,1.4202494909541976
60105,DO,2020,4,1,0,0,0,0,4,10378267,0.005791429339792472,51993,107604,0.005009795951482073,0.01036820501920022,1.1560210028273037
58549,GH,2020,4,1,0,0,0,0,4,27043093,0.0021650260197677833,59738,122139,0.0022089928840610057,0.004516458232052081,0.9800964210385349
58223,DZ,2020,4,1,0,0,0,0,4,38700000,0.0015044702842377262,122426,132912,0.0031634625322997417,0.0034344186046511628,0.47557708329929915
57751,BO,2020,4,1,0,0,0,0,4,10027254,0.005759403322185715,49502,107779,0.004936745394102912,0.010748605749889251,1.166639731728011
54767,KG,2020,4,1,0,0,0,0,4,5776570,0.009480885715917924,21070,62665,0.003647493235605212,0.010848133061661158,2.5992880873279542
51778,GE,2020,4,1,0,0,0,0,4,4490500,0.011530564525108563,39813,66031,0.008866050551163568,0.014704598597038192,1.3005299776454926
48340,SV,2020,4,1,0,0,0,0,4,6401240,0.007551661865513557,34310,77917,0.0053598990195649595,0.012172172891502272,1.4089186825998252
47256,BA,2020,4,1,0,0,0,0,4,3791622,0.012463267699153555,35753,70600,0.009429473718635454,0.018619999567467432,1.321735239000923
46989,RW,2020,4,1,0,0,0,0,4,10996891,0.004272934959526288,12597,40447,0.0011455055797133936,0.0036780395477230793,3.730173850916885
46037,AM,2020,4,1,0,0,0,0,4,3009800,0.015295700711010699,39501,99441,0.013124127849026513,0.0330390723636122,1.1654641654641655
42597,AZ,2020,4,1,0,0,0,0,4,9552500,0.004459251504841664,37908,69848,0.003968385239466108,0.007312012562156503,1.1236942070275404
40593,PS,2020,4,1,0,0,0,0,4,5483450,0.0074028212165698605,33695,57281,0.006144854060855848,0.01044616071998468,1.2047188010090517
39323,UG,2020,4,1,0,0,0,0,4,34856813,0.001128129528078198,26676,79647,0.0007653023241109278,0.002284976541028005,1.4740965662018293
39075,IS,2020,4,1,0,0,0,0,4,328170,0.11906938477008867,17910,51332,0.05457537252034007,0.15641892921351738,2.181742043551089
36342,MK,2020,4,1,0,0,0,0,4,2058539,0.01765426839132025,29392,52380,0.014278087517409192,0.02544523081661314,1.236458900381056
33830,LU,2020,4,1,0,0,0,0,4,549700,0.061542659632526836,18497,46187,0.03364926323449154,0.08402219392395853,1.828945234362329
31609,HN,2020,4,1,0,0,0,0,4,8725111,0.0036227619339169437,22496,52735,0.0025783053075198697,0.006044049181723877,1.4050942389758179
30943,KH,2020,4,0,0,0,0,0,4,15184116,0.0020378532408472116,39744,85988,0.0026174721004502337,0.00566302312232072,0.778557769726248
29006,AL,2020,4,1,0,0,0,0,4,2895947,0.01001606728299931,37541,47304,0.012963289728713958,0.016334553084017076,0.7726485708958206
27687,IQ,2020,4,1,0,0,0,0,4,36004552,0.0007689860993132201,78815,67962,0.0021890287650294885,0.0018875946574755326,0.3512909979064899
25857,CY,2020,4,1,0,0,0,0,4,858000,0.030136363636363635,18400,38749,0.021445221445221447,0.045162004662004665,1.4052717391304348
24750,PR,2020,4,0,0,0,0,0,4,3615086,0.006846310156936792,24702,37262,0.006833032464511218,0.010307361982536515,1.001943162496964
24301,CM,2020,4,0,0,0,0,0,4,20386799,0.0011919968407006908,23662,50236,0.0011606530284621927,0.002464143586249121,1.0270053249936608
22122,PA,2020,4,1,0,0,0,0,4,3713312,0.005957484854491085,23850,37015,0.006422837617738558,0.009968190122456718,0.9275471698113208
21346,MT,2020,4,1,0,0,0,0,4,416055,0.05130571679225102,15210,30084,0.036557666654649025,0.07230774777373183,1.4034188034188033
20960,PY,2020,4,1,0,0,0,0,4,6893727,0.0030404453207967183,19601,38083,0.0028433095769530765,0.005524297669460946,1.0693331972858529
20878,ET,2020,4,0,0,0,0,0,4,87952991,0.0002373768050707906,32068,46174,0.0003646038598050634,0.0005249849888561493,0.6510540102282649
20138,JM,2020,4,1,0,0,0,0,4,2717991,0.007409148889749819,15398,34558,0.005665213755306769,0.012714538054025934,1.3078321859981816
17801,TZ,2020,4,1,0,0,0,0,4,47421786,0.00037537599279790937,22745,40770,0.0004796318721526009,0.0008597314322999138,0.7826335458342493
17003,NI,2020,4,1,0,0,0,0,4,6134270,0.0027718049580471677,15418,29300,0.0025134205048033425,0.0047764444669047825,1.1028019198339603
15668,KW,2020,4,1,0,0,0,0,4,3268431,0.004793737423246812,30888,42995,0.009450406020503416,0.0131546298514486,0.5072520072520073
15538,SN,2020,4,1,0,0,0,0,4,13508715,0.0011502204317731183,17895,41368,0.0013247003878607254,0.0030623193989953892,0.8682872310701313
14953,CU,2020,4,0,0,0,0,0,4,11210064,0.0013338906896517273,17693,15916,0.0015783139150677462,0.0014197956407742186,0.8451364946589046
14892,MN,2020,4,1,0,0,0,0,4,2987733,0.004984381134458802,18774,26592,0.006283694024867684,0.008900393709879698,0.7932246724193033
14706,MG,2020,4,1,0,0,0,0,4,21842167,0.0006732848439442845,13197,22396,0.0006041982922298872,0.0010253561379692775,1.1143441691293476
14451,QA,2020,4,1,0,0,0,0,4,2269672,0.006366999284478109,25563,31131,0.011262860889150503,0.01371607879905114,0.5653092360051637
13467,SY,2020,4,0,0,0,0,0,4,22964324,0.0005864313706774038,19037,19016,0.0008289815106249154,0.0008280670486969266,0.7074118821242843
13423,RE,2020,4,0,0,0,0,0,4,840974,0.015961254450197034,7596,12484,0.00903238387869304,0.014844691988099514,1.767114270668773
12766,MO,2020,4,0,0,0,0,0,4,631000,0.020231378763866877,10716,24483,0.01698256735340729,0.03880031695721078,1.1913027248973498
11579,BH,2020,4,0,0,0,0,0,4,1316500,0.008795290543106722,13588,15713,0.010321306494492973,0.011935434865172807,0.852148954960259
11357,MU,2020,4,1,0,0,0,0,4,1261208,0.009004858833753036,13753,27264,0.010904624772440391,0.021617370013510856,0.8257834654257253
10644,ZW,2020,4,0,0,0,0,0,4,13061239,0.0008149303446633202,17355,29295,0.001328740711352116,0.0022428959457827854,0.6133102852203975
9218,OM,2020,4,1,0,0,0,0,4,4089076,0.0022542990152298464,19465,18309,0.0047602441236113,0.00447753966910862,0.4735679424608271
9136,CI,2020,4,1,0,0,0,0,4,23821000,0.00038352713991855926,21066,31097,0.0008843457453507409,0.001305444775618152,0.43368461027247696
9021,ME,2020,4,1,0,0,0,0,4,602445,0.014973981027313697,6656,13442,0.011048311464117057,0.02231241026151765,1.3553185096153846
8964,SD,2020,4,0,0,0,0,0,4,37289406,0.00024038999173116353,15434,17514,0.00041389771668661065,0.00046967763444663075,0.5807956459764158
8865,AO,2020,4,1,0,0,0,0,4,24383301,0.00036356849304366133,10554,15351,0.00043283721100764825,0.0006295702128272132,0.8399658897100626
8655,TT,2020,4,1,0,0,0,0,4,1328019,0.006517226033663675,11983,15101,0.00902321427630177,0.011371072251225321,0.7222732203955604
8436,YE,2020,4,0,0,0,0,0,4,25956000,0.0003250115580212668,17516,25291,0.0006748343350285097,0.0009743797195253506,0.48161680749029456
7211,TJ,2020,4,0,0,0,0,0,4,8161000,0.0008835926969734101,3756,7670,0.0004602377159661806,0.0009398358044357309,1.9198615548455804
6993,ZM,2020,4,1,0,0,0,0,4,15023315,0.00046547649436891927,9847,15040,0.0006554478821751391,0.001001110607079729,0.710165532649538
6825,MZ,2020,4,1,0,0,0,0,4,25041922,0.000272542978130832,8057,14051,0.0003217404798241924,0.0005610991041342594,0.8470894874022589
6432,CD,2020,4,0,0,0,0,0,4,69360000,9.273356401384083e-05,7840,12380,0.00011303344867358708,0.0001784890426758939,0.8204081632653061
6092,BJ,2020,4,1,0,0,0,0,4,9988068,0.0006099277658101646,9483,11962,0.0009494328632924806,0.0011976290109358485,0.642412738584836
5249,LA,2020,4,0,0,0,0,0,4,6693300,0.0007842170528737693,7909,10552,0.0011816293905846144,0.0015765018750093377,0.6636742951068403
