git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,developers_pc,pushes_perdev
107400,AE,2020,2,1,0,0,0,0,2,9446000,0.011369892017785306,110078,0.011653398263815371,0.9756717963625793
104827,CR,2020,2,1,0,0,0,0,2,4713168,0.02224130351389978,57535,0.012207288176445227,1.821969236117146
96502,SA,2020,2,1,0,0,0,0,2,30770375,0.003136198372623018,191828,0.006234178166499433,0.5030652459494964
89131,VE,2020,2,0,0,0,0,0,2,30206307,0.00295074137993764,89282,0.0029557403359503696,0.9983087296431532
85742,SI,2020,2,1,0,0,0,0,2,2064966,0.04152223329585088,40710,0.01971461031319644,2.106165561287153
77173,UY,2020,2,1,0,0,0,0,2,3404189,0.022670010390139914,39419,0.011579556834241576,1.9577614855780208
76233,GT,2020,2,1,0,0,0,0,2,15806675,0.0048228359221657935,38947,0.002463959055272535,1.9573522992785066
74241,LV,2020,2,1,0,0,0,0,2,1991800,0.03727332061451953,39704,0.019933728285972487,1.8698619786419504
64001,DO,2020,2,1,0,0,0,0,2,10378267,0.006166829201831096,43098,0.004152716441001181,1.48501090537844
62979,AM,2020,2,1,0,0,0,0,2,3009800,0.020924646155890757,34296,0.011394777061598778,1.836336599020294
61811,GH,2020,2,1,0,0,0,0,2,27043093,0.0022856483169288364,49033,0.0018131431933470037,1.2606000040788856
61168,DZ,2020,2,1,0,0,0,0,2,38700000,0.0015805684754521964,103633,0.0026778552971576225,0.5902367006648461
58824,BO,2020,2,1,0,0,0,0,2,10027254,0.005866411681602959,41552,0.00414390619804784,1.415671929149018
57844,MD,2020,2,1,0,0,0,0,2,3557600,0.016259275916348098,30541,0.008584720035979312,1.893978586162863
57048,JO,2020,2,1,0,0,0,0,2,6666960,0.00855682349976601,41852,0.006277523788953286,1.3630889802159993
54166,IQ,2020,2,1,0,0,0,0,2,36004552,0.00150442088544804,60447,0.0016788710494161961,0.8960907902790874
52139,SV,2020,2,1,0,0,0,0,2,6401240,0.008145140629003131,28753,0.004491785966468997,1.813341216568706
51434,MM,2020,2,1,0,0,0,0,2,54688774,0.0009404855190207774,53678,0.0009815177059920926,0.9581951637542382
48781,BA,2020,2,1,0,0,0,0,2,3791622,0.012865470239385677,30889,0.008146645419822967,1.5792353264916312
45570,UG,2020,2,1,0,0,0,0,2,34856813,0.0013073484371620549,23072,0.0006619079030547055,1.975121359223301
44315,GE,2020,2,1,0,0,0,0,2,4490500,0.009868611513194521,33381,0.007433693352633337,1.3275516012102693
44000,KG,2020,2,1,0,0,0,0,2,5776570,0.007616976856508274,16352,0.002830745580855075,2.690802348336595
43644,UZ,2020,2,0,0,0,0,0,2,30492800,0.0014312886976597754,29267,0.0009598003463112604,1.4912358629172788
39102,MK,2020,2,1,0,0,0,0,2,2058539,0.018995025112470542,25191,0.01223731976902065,1.5522210313207099
38458,AZ,2020,2,1,0,0,0,0,2,9552500,0.004025961790107301,30536,0.003196650091599058,1.2594314906995023
38088,AL,2020,2,1,0,0,0,0,2,2895947,0.013152174400981785,31852,0.010998820075091153,1.1957804847419313
37950,IS,2020,2,1,0,0,0,0,2,328170,0.11564128348112258,15950,0.04860285827467471,2.3793103448275863
35968,LU,2020,2,1,0,0,0,0,2,549700,0.06543205384755321,16530,0.030070947789703473,2.175922565033273
31574,LB,2020,2,1,0,0,0,0,2,4104000,0.007693469785575049,35233,0.008585038986354775,0.8961484971475605
29933,HN,2020,2,1,0,0,0,0,2,8725111,0.0034306726871440375,18125,0.0020773374688299096,1.6514758620689656
29797,KH,2020,2,0,0,0,0,0,2,15184116,0.001962379634086041,33998,0.0022390503339147303,0.876433907876934
29632,PS,2020,2,1,0,0,0,0,2,5483450,0.005403897181518934,28952,0.005279887661964639,1.0234871511467256
28769,RW,2020,2,1,0,0,0,0,2,10996891,0.002616103042214386,10680,0.0009711835827053301,2.6937265917602997
27051,MT,2020,2,1,0,0,0,0,2,416055,0.06501784619821899,13594,0.0326735647931163,1.9899220244225393
26728,CM,2020,2,0,0,0,0,0,2,20386799,0.001311044465587756,19394,0.0009513018694106907,1.3781581932556461
24383,CY,2020,2,1,0,0,0,0,2,858000,0.02841841491841492,15712,0.018312354312354312,1.551871181262729
23727,PA,2020,2,1,0,0,0,0,2,3713312,0.00638971354952129,19281,0.00519239966908248,1.2305896997043722
21415,TZ,2020,2,1,0,0,0,0,2,47421786,0.00045158569101551765,19288,0.0004067328885504228,1.1102758191621733
21310,PR,2020,2,0,0,0,0,0,2,3615086,0.005894742199770628,20855,0.005768880740319871,1.0218173099976025
20847,PY,2020,2,1,0,0,0,0,2,6893727,0.003024053606996622,16423,0.0023823107587521235,1.2693783109054375
19903,KW,2020,2,1,0,0,0,0,2,3268431,0.006089466168935492,24819,0.007593551768417323,0.8019259438333535
18893,SN,2020,2,1,0,0,0,0,2,13508715,0.0013985786212826312,15320,0.0011340827014264495,1.2332245430809399
18318,ET,2020,2,0,0,0,0,0,2,87952991,0.00020827034750870495,26677,0.0003033097532749057,0.6866589196686284
15419,CU,2020,2,0,0,0,0,0,2,11210064,0.0013754604790837948,14407,0.0012851844556819659,1.0702436315679877
14371,NI,2020,2,1,0,0,0,0,2,6134270,0.0023427400489381784,13027,0.0021236430740740136,1.1031703385276732
14026,JM,2020,2,1,0,0,0,0,2,2717991,0.005160429155210595,12534,0.004611494298546242,1.119036221477581
13013,CI,2020,2,1,0,0,0,0,2,23821000,0.00054628269174258,17973,0.0007545023298769993,0.724030490179714
12480,QA,2020,2,1,0,0,0,0,2,2269672,0.00549859186701867,20945,0.00922820566143478,0.5958462640248269
12270,MU,2020,2,1,0,0,0,0,2,1261208,0.00972876797483048,11946,0.00947187141216992,1.0271220492214967
12076,TT,2020,2,1,0,0,0,0,2,1328019,0.009093243394861068,9753,0.007344021433428286,1.2381831231415974
11500,ZW,2020,2,0,0,0,0,0,2,13061239,0.0008804677718553348,14787,0.0011321284297760726,0.7777101508081423
10881,SY,2020,2,0,0,0,0,0,2,22964324,0.00047382191611649443,16155,0.0007034824974599731,0.6735376044568245
10782,ME,2020,2,1,0,0,0,0,2,602445,0.017897069442023752,5768,0.009574317987534131,1.8692787794729542
10403,MN,2020,2,1,0,0,0,0,2,2987733,0.003481904172829366,15661,0.005241766918262107,0.6642615414085946
